iteration: 327, mu=10000000, J_total_sum2=45.94991100938769
iteration: 328, mu=10000000, J_total_sum2=45.94746999097816
iteration: 329, mu=10000000, J_total_sum2=45.94502917210971
iteration: 330, mu=10000000, J_total_sum2=45.94258855263313
iteration: 331, mu=10000000, J_total_sum2=45.94014813242201
iteration: 332, mu=10000000, J_total_sum2=45.93770791137191
iteration: 333, mu=10000000, J_total_sum2=45.93526788939926
iteration: 334, mu=10000000, J_total_sum2=45.93282806644051
iteration: 335, mu=10000000, J_total_sum2=45.93038844245135
iteration: 336, mu=10000000, J_total_sum2=45.92794901740594
iteration: 337, mu=10000000, J_total_sum2=45.92550979129636
iteration: 338, mu=10000000, J_total_sum2=45.92307076413185
iteration: 339, mu=10000000, J_total_sum2=45.92063193593835
iteration: 340, mu=10000000, J_total_sum2=45.91819330675796
iteration: 341, mu=10000000, J_total_sum2=45.9157548766486
iteration: 342, mu=10000000, J_total_sum2=45.91331664568338
iteration: 343, mu=10000000, J_total_sum2=45.91087861395049
iteration: 344, mu=10000000, J_total_sum2=45.90844078155273
iteration: 345, mu=10000000, J_total_sum2=45.90600314860716
iteration: 346, mu=10000000, J_total_sum2=45.90356571524507
iteration: 347, mu=10000000, J_total_sum2=45.90112848161155
iteration: 348, mu=10000000, J_total_sum2=45.8986914478654
iteration: 349, mu=10000000, J_total_sum2=45.89625461417895
iteration: 350, mu=10000000, J_total_sum2=45.89381798073792
iteration: 351, mu=10000000, J_total_sum2=45.89138154774137
iteration: 352, mu=10000000, J_total_sum2=45.88894531540153
iteration: 353, mu=10000000, J_total_sum2=45.88650928394384
iteration: 354, mu=10000000, J_total_sum2=45.88407345360683
iteration: 355, mu=10000000, J_total_sum2=45.88163782464225
iteration: 356, mu=10000000, J_total_sum2=45.87920239731495
iteration: 357, mu=10000000, J_total_sum2=45.876767171903
iteration: 358, mu=10000000, J_total_sum2=45.87433214869773
iteration: 359, mu=10000000, J_total_sum2=45.87189732800389
iteration: 360, mu=10000000, J_total_sum2=45.86946271013956
iteration: 361, mu=10000000, J_total_sum2=45.86702829543655
iteration: 362, mu=10000000, J_total_sum2=45.86459408424034
iteration: 363, mu=10000000, J_total_sum2=45.86216007691034
iteration: 364, mu=10000000, J_total_sum2=45.85972627382007
iteration: 365, mu=10000000, J_total_sum2=45.85729267535739
iteration: 366, mu=10000000, J_total_sum2=45.8548592819247
iteration: 367, mu=10000000, J_total_sum2=45.8524260939392
iteration: 368, mu=10000000, J_total_sum2=45.84999311183318
iteration: 369, mu=10000000, J_total_sum2=45.84756033605439
iteration: 370, mu=10000000, J_total_sum2=45.84512776706615
iteration: 371, mu=10000000, J_total_sum2=45.8426954053479
iteration: 372, mu=10000000, J_total_sum2=45.84026325139547
iteration: 373, mu=10000000, J_total_sum2=45.83783130572144
iteration: 374, mu=10000000, J_total_sum2=45.83539956885556
iteration: 375, mu=10000000, J_total_sum2=45.83296804134514
iteration: 376, mu=10000000, J_total_sum2=45.83053672375554
iteration: 377, mu=10000000, J_total_sum2=45.82810561667052
iteration: 378, mu=10000000, J_total_sum2=45.82567472069285
iteration: 379, mu=10000000, J_total_sum2=45.82324403644461
iteration: 380, mu=10000000, J_total_sum2=45.82081356456785
iteration: 381, mu=10000000, J_total_sum2=45.81838330572497
iteration: 382, mu=10000000, J_total_sum2=45.81595326059934
iteration: 383, mu=10000000, J_total_sum2=45.81352342989577
iteration: 384, mu=10000000, J_total_sum2=45.81109381434098
iteration: 385, mu=10000000, J_total_sum2=45.80866441468432
iteration: 386, mu=10000000, J_total_sum2=45.80623523169804
iteration: 387, mu=10000000, J_total_sum2=45.80380626617808
iteration: 388, mu=10000000, J_total_sum2=45.80137751894437
iteration: 389, mu=10000000, J_total_sum2=45.79894899084147
iteration: 390, mu=10000000, J_total_sum2=45.79652068273901
iteration: 391, mu=10000000, J_total_sum2=45.79409259553208
iteration: 392, mu=10000000, J_total_sum2=45.79166473014176
iteration: 393, mu=10000000, J_total_sum2=45.78923708751545
iteration: 394, mu=10000000, J_total_sum2=45.78680966862715
iteration: 395, mu=10000000, J_total_sum2=45.78438247447782
iteration: 396, mu=10000000, J_total_sum2=45.78195550609552
iteration: 397, mu=10000000, J_total_sum2=45.77952876453551
iteration: 398, mu=10000000, J_total_sum2=45.77710225088033
iteration: 399, mu=10000000, J_total_sum2=45.77467596623973
iteration: 400, mu=10000000, J_total_sum2=45.77224991175031
iteration: 401, mu=10000000, J_total_sum2=45.76982408857544
iteration: 402, mu=10000000, J_total_sum2=45.76739849790454
iteration: 403, mu=10000000, J_total_sum2=45.76497314095256
iteration: 404, mu=10000000, J_total_sum2=45.76254801895909
iteration: 405, mu=10000000, J_total_sum2=45.76012313318734
iteration: 406, mu=10000000, J_total_sum2=45.75769848492291
iteration: 407, mu=10000000, J_total_sum2=45.75527407547226
iteration: 408, mu=10000000, J_total_sum2=45.75284990616105
iteration: 409, mu=10000000, J_total_sum2=45.75042597833208
iteration: 410, mu=10000000, J_total_sum2=45.74800229334306
iteration: 411, mu=10000000, J_total_sum2=45.74557885256402
iteration: 412, mu=10000000, J_total_sum2=45.74315565737449
iteration: 413, mu=10000000, J_total_sum2=45.74073270916033
iteration: 414, mu=10000000, J_total_sum2=45.73831000931021
iteration: 415, mu=10000000, J_total_sum2=45.73588755921187
iteration: 416, mu=10000000, J_total_sum2=45.73346536024805
iteration: 417, mu=10000000, J_total_sum2=45.73104341379197
iteration: 418, mu=10000000, J_total_sum2=45.72862172120281
iteration: 419, mu=10000000, J_total_sum2=45.72620028382069
iteration: 420, mu=10000000, J_total_sum2=45.72377910296146
iteration: 421, mu=10000000, J_total_sum2=45.72135817991135
iteration: 422, mu=10000000, J_total_sum2=45.71893751592141
iteration: 423, mu=10000000, J_total_sum2=45.71651711220179
iteration: 424, mu=10000000, J_total_sum2=45.71409696991596
iteration: 425, mu=10000000, J_total_sum2=45.711677090175
iteration: 426, mu=10000000, J_total_sum2=45.70925747403171
iteration: 427, mu=10000000, J_total_sum2=45.70683812247508
iteration: 428, mu=10000000, J_total_sum2=45.70441903642468
iteration: 429, mu=10000000, J_total_sum2=45.70200021672551
