======================================================
SEEING RESULTS FOR JORDAN'S REWRITE USING WIKIPEDIA LOGIC

iteration2: 1, mu=0.0001, R_average=504, R_average2=504
iteration2: 377, mu=10, R_average=5.68175, R_average2=5.68171

iteration2: 378, mu=10, R_average=5.68171, R_average2=5.68167

iteration2: 379, mu=10, R_average=5.68167, R_average2=5.68162

iteration2: 380, mu=10, R_average=5.68162, R_average2=5.68158

iteration2: 381, mu=10, R_average=5.68158, R_average2=5.68154

iteration2: 382, mu=10, R_average=5.68154, R_average2=5.6815

iteration2: 383, mu=10, R_average=5.6815, R_average2=5.68146

iteration2: 384, mu=10, R_average=5.68146, R_average2=5.68142

iteration2: 385, mu=10, R_average=5.68142, R_average2=5.68138

iteration2: 386, mu=10, R_average=5.68138, R_average2=5.68134

iteration2: 387, mu=10, R_average=5.68134, R_average2=5.6813

iteration2: 388, mu=10, R_average=5.6813, R_average2=5.68126

iteration2: 389, mu=10, R_average=5.68126, R_average2=5.68121

iteration2: 390, mu=10, R_average=5.68121, R_average2=5.68117

iteration2: 391, mu=10, R_average=5.68117, R_average2=5.68113

iteration2: 392, mu=10, R_average=5.68113, R_average2=5.68109

iteration2: 393, mu=10, R_average=5.68109, R_average2=5.68105

iteration2: 394, mu=10, R_average=5.68105, R_average2=5.68101

iteration2: 395, mu=10, R_average=5.68101, R_average2=5.68097

iteration2: 396, mu=10, R_average=5.68097, R_average2=5.68093

iteration2: 397, mu=10, R_average=5.68093, R_average2=5.68089

iteration2: 398, mu=10, R_average=5.68089, R_average2=5.68085

iteration2: 399, mu=10, R_average=5.68085, R_average2=5.68081

iteration2: 400, mu=10, R_average=5.68081, R_average2=5.68077

iteration2: 401, mu=10, R_average=5.68077, R_average2=5.68073

iteration2: 402, mu=10, R_average=5.68073, R_average2=5.68068

iteration2: 403, mu=10, R_average=5.68068, R_average2=5.68064

iteration2: 404, mu=10, R_average=5.68064, R_average2=5.6806

iteration2: 405, mu=10, R_average=5.6806, R_average2=5.68056

iteration2: 406, mu=10, R_average=5.68056, R_average2=5.68052

iteration2: 407, mu=10, R_average=5.68052, R_average2=5.68048

iteration2: 408, mu=10, R_average=5.68048, R_average2=5.68044

iteration2: 409, mu=10, R_average=5.68044, R_average2=5.6804

iteration2: 410, mu=10, R_average=5.6804, R_average2=5.68036

iteration2: 411, mu=10, R_average=5.68036, R_average2=5.68032

iteration2: 412, mu=10, R_average=5.68032, R_average2=5.68028

iteration2: 413, mu=10, R_average=5.68028, R_average2=5.68024

iteration2: 414, mu=10, R_average=5.68024, R_average2=5.6802

