======================================================
SEEING RESULTS FOR JORDAN'S REWRITE USING SAME RSS LOGIC

iteration2: 1, mu=0.0001, R_average=504, R_average2=504
iteration2: 309, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 310, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 311, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 312, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 313, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 314, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 315, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 316, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 317, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 318, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 319, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 320, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 321, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 322, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 323, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 324, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 325, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 326, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 327, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 328, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 329, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 330, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 331, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 332, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 333, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 334, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 335, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 336, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 337, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 338, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 339, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 340, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 341, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 342, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 343, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 344, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 345, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 346, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 347, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 348, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 349, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 350, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 351, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 352, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 353, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 354, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 355, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 356, mu=10000, R_average=2.68684, R_average2=2.68684

iteration2: 357, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 358, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 359, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 360, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 361, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 362, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 363, mu=100000, R_average=2.68684, R_average2=2.68684

